name,sentence_id,order_id,word
1680,SANSA,168,3,joffrey
1687,SANSA,168,10,thinks
1689,SANSA,168,12,ugly
1690,CATELYN,169,0,then
1694,CATELYN,169,4,stupidest
1695,CATELYN,169,5,prince
1697,CATELYN,169,7,ever
1698,CATELYN,169,8,lived
1699,SANSA,170,0,he’s
1701,SANSA,170,2,handsome
1706,SANSA,171,4,married
1707,SANSA,171,5,soon
1708,SANSA,171,6,or
1713,SANSA,171,11,wait
1714,CATELYN,172,0,hush
1715,CATELYN,172,1,now
1717,CATELYN,172,3,father
1718,CATELYN,172,4,hasn’t
1719,CATELYN,172,5,even
1720,CATELYN,172,6,said
1725,SANSA,173,3,say
1727,SANSA,173,5,he’d
1730,SANSA,173,8,second
1732,SANSA,173,10,powerful
1733,SANSA,173,11,man
1736,SANSA,173,14,kingdoms
1737,CATELYN,174,0,he’d
1740,CATELYN,174,3,leave
1741,CATELYN,174,4,home
1742,CATELYN,174,5,he’d
1745,CATELYN,174,8,leave
1752,SANSA,175,1,left
1754,SANSA,175,3,home
1756,SANSA,175,5,come
1759,SANSA,175,8,i’d
1761,SANSA,175,10,queen
1762,SANSA,175,11,someday
1763,SANSA,175,12,please
1764,SANSA,175,13,make
1765,SANSA,175,14,father
1766,SANSA,175,15,say
1768,CATELYN,176,0,sansa…
1769,SANSA,177,0,please
1770,SANSA,177,1,please
1773,SANSA,177,4,only
1774,SANSA,177,5,thing
1776,SANSA,177,7,ever
1777,SANSA,177,8,wanted
1780,BENJEN,178,2,dead
1781,BENJEN,178,3,yet
1782,JON,179,0,uncle
1783,JON,179,1,benjen
1785,BENJEN,180,1,got
1786,BENJEN,180,2,bigger
1788,BENJEN,180,4,rode
1790,BENJEN,180,6,day
1791,BENJEN,180,7,didn’t
1792,BENJEN,180,8,want
1794,BENJEN,180,10,leave
1796,BENJEN,180,12,alone
1799,BENJEN,180,15,lannisters
1801,BENJEN,180,17,aren’t
1805,BENJEN,180,21,feast
1806,JON,181,0,lady
1807,JON,181,1,stark
1808,JON,181,2,thought
1810,JON,181,4,might
1811,JON,181,5,insult
1813,JON,181,7,royal
1814,JON,181,8,family
1816,JON,181,10,seat
1818,JON,181,12,bastard
1821,JON,181,15,midst
1822,BENJEN,182,0,well
1824,BENJEN,182,2,always
1825,BENJEN,182,3,welcome
1828,BENJEN,182,6,wall
1830,BENJEN,182,8,bastard
1832,BENJEN,182,10,ever
1833,BENJEN,182,11,refused
1835,BENJEN,182,13,seat
1836,BENJEN,182,14,there
1838,JON,183,1,take
1844,JON,183,7,go
1845,JON,183,8,back
1846,BENJEN,184,0,jon…
1847,JON,185,0,father
1849,JON,185,2,let
1853,JON,185,6,ask
1860,BENJEN,186,1,wall
1861,BENJEN,186,2,isn’t
1862,BENJEN,186,3,going
1863,BENJEN,186,4,anywhere
1865,JON,187,1,ready
1867,JON,187,3,swear
1869,JON,187,5,oath
1872,BENJEN,188,2,understand
1874,BENJEN,188,4,you’d
1876,BENJEN,188,6,giving
1881,BENJEN,188,11,families
1886,BENJEN,188,16,ever
1887,BENJEN,188,17,father
1888,BENJEN,188,18,sons
1891,JON,189,2,care
1895,BENJEN,190,1,might
1898,BENJEN,190,4,knew
1901,BENJEN,190,7,meant
1902,BENJEN,190,8,i’d
1903,BENJEN,190,9,better
1904,BENJEN,190,10,get
1906,BENJEN,190,12,rescue
1908,BENJEN,190,14,father
1911,BENJEN,190,17,guests
1912,BENJEN,190,18,we’ll
1913,BENJEN,190,19,talk
1914,BENJEN,190,20,later
1916,TYRION,191,1,uncle’s
1919,TYRION,191,4,night’s
1920,TYRION,191,5,watch
1921,JON,192,0,what’re
1923,JON,192,2,doing
1924,JON,192,3,back
1925,JON,192,4,there
1926,TYRION,193,0,preparing
1929,TYRION,193,3,night
1932,TYRION,193,6,family
1934,TYRION,193,8,always
1935,TYRION,193,9,wanted
1937,TYRION,193,11,see
1939,TYRION,193,13,wall
1941,TYRION,194,1,greatest
1942,TYRION,194,2,accomplishment
1945,TYRION,194,5,ned
1946,TYRION,194,6,stark’s
1947,TYRION,194,7,bastard
1948,TYRION,194,8,aren’t
1952,TYRION,195,2,offend
1954,TYRION,195,4,sorry
1958,TYRION,195,8,bastard
1959,TYRION,195,9,though
1960,JON,196,0,lord
1961,JON,196,1,eddard
1962,JON,196,2,stark
1965,JON,196,5,father
1967,TYRION,197,1,lady
1968,TYRION,197,2,stark
1972,TYRION,197,6,mother
1973,TYRION,197,7,making
1976,TYRION,197,10,bastard
1977,TYRION,197,11,let
